periode_data,jenis,kode_trayek,trayek,jumlah_penumpang
201908,ANGKUTAN UMUM INTEGRASI,7P,PONDOK KELAPA - BKN,19473
201908,ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,90145
201908,ANGKUTAN UMUM INTEGRASI,8D,JOGLO - BLOK M,8986
201908,ANGKUTAN UMUM INTEGRASI,8E,BINTARO - BLOK M,56492
201908,ANGKUTAN UMUM INTEGRASI,8K,BATUSARI - TANAH ABANG,41846
201908,ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,142884
201908,ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,67608
201908,ANGKUTAN UMUM INTEGRASI,9H,CIPEDAK - BLOK M,64297
201908,ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,1587
201908,ANGKUTAN UMUM INTEGRASI,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),86907
201908,ANGKUTAN UMUM INTEGRASI,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,64817
201908,ANGKUTAN UMUM INTEGRASI,11T,PULO GEBANG - STASIUN CAKUNG,815
201908,ANGKUTAN UMUM INTEGRASI,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,966
201908,ANGKUTAN UMUM INTEGRASI,12A,KOTA - PELABUHAN KALIADEM,13203
201908,ANGKUTAN UMUM INTEGRASI,12B,PLUIT - STASIUN SENEN,35602
201908,ANGKUTAN UMUM INTEGRASI,12E,HISTORY OF JAKARTA EXPLORER,8169
201908,ANGKUTAN UMUM INTEGRASI,12K,ASEMKA EXPLORER,9042
201908,ANGKUTAN UMUM INTEGRASI,MR1,CSW - PAKUBUWONO,2753
201908,ANGKUTAN UMUM INTEGRASI,MR2,CSW - KRAMAT PELA,10359
201908,ANGKUTAN UMUM INTEGRASI,MR3,CSW - WIJAYA,3991
201908,ANGKUTAN UMUM INTEGRASI,MR5,STASIUN MRT BLOK A - RADIO DALAM,5725
201908,ANGKUTAN UMUM INTEGRASI,MR8,CIPETE - ANTASARI,6278
201908,ANGKUTAN UMUM INTEGRASI,MR9,SOUTH QUARTER - LEBAK BULUS,2851
201908,TRANSJABODETABEK,B11,SUMMARECON BEKASI - TOSARI,63309
201908,TRANSJABODETABEK,B12,SUMMARECON BEKASI - TANJUNG PRIOK,41245
201908,TRANSJABODETABEK,B21,BEKASI TIMUR - GROGOL 2,8256
201908,TRANSJABODETABEK,B22,BEKASI TIMUR - JUANDA,51309
201908,TRANSJABODETABEK,D11,DEPOK - BKN,104279
201908,TRANSJABODETABEK,D21,UI - LEBAK BULUS,126013
201908,TRANSJABODETABEK,S11,BSD - GROGOL 2,123738
201908,TRANSJABODETABEK,S21,CIPUTAT - TOSARI,144599
201908,TRANSJABODETABEK,S22,CIPUTAT - KAMPUNG RAMBUTAN,97813
201908,TRANSJABODETABEK,S41,PONDOK CABE - TANAH ABANG,55301
201908,TRANSJABODETABEK,T11,PORIS PLAWAD - BUNDARAN SENAYAN,218529
201908,TRANSJABODETABEK,T12,PORIS PLAWAD - JUANDA,79703
201908,TRANSJABODETABEK,7C,CIBUBUR - BKN,171109
201908,TRANSJABODETABEK,2B,HARAPAN INDAH - ASMI,996
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,B13,BEKASI BARAT - BLOK M,18703
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,B14,BEKASI BARAT - KUNINGAN,16099
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,B23,BEKASI TIMUR - TEBET,927
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,B24,BEKASI TIMUR - KALIDERES,3795
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,1K,CIBUBUR JUNCTION - BLOK M,19359
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,1T,CIBUBUR - KOTA,15719
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,6P,CIBUBUR - KUNINGAN,17175
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,1U,TAMAN MINI - BALAI KOTA,4954
201908,ANGKUTAN EKSEKUTIF ROYAL TRANS,D31,CINERE - KUNINGAN,1871
